DATE,AVER,99PC,ACTUAL,C_CUM,C_DAY
20/02/2020,1240.5,1641.65,1184,0,0
21/02/2020,1228.5,1608.39,1157,0,0
22/02/2020,1218.5,1608.39,1173,0,0
23/02/2020,1217.5,1608.39,1088,0,0
24/02/2020,1217.5,1608.39,1141,0,0
25/02/2020,1215,1623.36,1124,0,0
26/02/2020,1213,1610.25,1126,0,0
27/02/2020,1206.5,1610.25,1219,0,0
28/02/2020,1206.5,1591.62,1124,0,0
29/02/2020,1208,1565.4,1142,0,0
01/03/2020,1204,1565.4,1054,0,0
02/03/2020,1205.5,1563.33,1111,0,0
03/03/2020,1204,1513.8,1147,0,0
04/03/2020,1198.5,1484.49,1137,0,0
05/03/2020,1201.5,1468.6,1172,0,0
06/03/2020,1202.5,1417.54,1172,0,0
07/03/2020,1198.5,1389.43,1147,0,0
08/03/2020,1194,1389.43,1119,28,28
09/03/2020,1191,1376.77,1097,36,8
10/03/2020,1189.5,1376.77,1200,48,12
11/03/2020,1167.5,1376.77,1237,84,36
12/03/2020,1164.5,1352.18,1209,120,36
13/03/2020,1161,1311.07,1283,134,14
14/03/2020,1159,1311.07,1250,285,151
15/03/2020,1158,1315.555,1269,306,21
16/03/2020,1154,1315.555,1273,491,185
17/03/2020,1153,1315.555,1348,598,107
18/03/2020,1150,1281.955,1416,767,169
19/03/2020,1148.5,1281.955,1564,982,215
20/03/2020,1147.75,1281.955,1727,1326,344
21/03/2020,1143.5,1270.915,1817,1720,394
22/03/2020,1141.5,1251.325,1718,2182,462
23/03/2020,1137.5,1251.325,1913,2696,514
24/03/2020,1125.5,1240.72,2152,3434,738
25/03/2020,1128.25,1232.17,2240,4089,655
26/03/2020,1125,1232.17,2263,4858,769
27/03/2020,1121.5,1233.72,2390,5745,887
28/03/2020,1121.5,1233.72,2408,6539,794
29/03/2020,1121.5,1233.72,2216,7340,801
30/03/2020,1121.5,1233.72,2328,8189,849
31/03/2020,1118.5,1225.785,2476,9053,864
01/04/2020,1115.5,1225.785,2439,10003,950
02/04/2020,1109.5,1225.785,2260,10935,932
03/04/2020,1108,1215.395,2176,11744,809
04/04/2020,1100,1205.735,1852,12418,674
05/04/2020,1097.5,1205.735,1843,13055,637
06/04/2020,1096.5,1191.03,1756,13798,743
07/04/2020,1095.5,1179.99,1787,14555,757
08/04/2020,1096.5,1180.23,1685,15238,683
09/04/2020,1095.5,1179.54,1528,15843,605
10/04/2020,1095.5,1179.54,1508,16353,510
11/04/2020,1096.5,1179.54,1407,16972,619
12/04/2020,1095.5,1179.54,1370,17489,517
13/04/2020,1087.5,1178.85,1369,18056,567
14/04/2020,1087,1178.85,1307,18579,523
15/04/2020,1080,1186.29,1139,,
